Product_Id,Name,URL,Color Count,Regular Price,Sale Price
12779426,"Karen Scott Drapey Fit Hoodie, Created for Macy's",https://www.macys.com//shop/product/karen-scott-drapey-fit-hoodie-created-for-macys?ID=12779426&CategoryID=255,6,3240.00,1296.00
12652058,"Karen Scott Keyhole-Cuff 3/4-Sleeve Top, Created for Macy's",https://www.macys.com//shop/product/karen-scott-keyhole-cuff-3-4-sleeve-top-created-for-macys?ID=12652058&CategoryID=255,6,2994.00,2246.00
13191793,"Karen Scott Asymmetrical Striped Boat-Neck Top, Created for Macy's",https://www.macys.com//shop/product/karen-scott-asymmetrical-striped-boat-neck-top-created-for-macys?ID=13191793&CategoryID=255,5,2420.00,1815.00
13288539,"INC International Concepts Cold-Shoulder Ruffled Top, Created for Macy's",https://www.macys.com//shop/product/inc-international-concepts-cold-shoulder-ruffled-top-created-for-macys?ID=13288539&CategoryID=255,2,3240.00,1815.00
12403265,"Alfani Printed Crewneck T-Shirt, Created for Macy's",https://www.macys.com//shop/product/alfani-printed-crewneck-t-shirt-created-for-macys?ID=12403265&CategoryID=255,7,2420.00,1815.00
13292535,"Alfani Twist-Detail Top, Created for Macy's",https://www.macys.com//shop/product/alfani-twist-detail-top-created-for-macys?ID=13292535&CategoryID=255,3,4880.00,1815.00
13003587,"Alfani Collared Top, Created for Macy's",https://www.macys.com//shop/product/alfani-collared-top-created-for-macys?ID=13003587&CategoryID=255,2,6521.00,3260.00
13140662,"Charter Club Pima Cotton Striped Boat-Neck Top, Created for Macy's",https://www.macys.com//shop/product/charter-club-pima-cotton-striped-boat-neck-top-created-for-macys?ID=13140662&CategoryID=255,3,2050.00,3260.00
13646656,Vince Camuto Plus Size Clip Dot V-Neck Blouse,https://www.macys.com//shop/product/vince-camuto-plus-size-clip-dot-v-neck-blouse?ID=13646656&CategoryID=255,3,7300.00,3260.00
12315042,"Charter Club Cotton Long-Sleeve V-Neck T-Shirt, Created for Macy's",https://www.macys.com//shop/product/charter-club-cotton-long-sleeve-v-neck-t-shirt-created-for-macys?ID=12315042&CategoryID=255,20,2050.00,3260.00
13140659,"Charter Club Pima Cotton Lace-Print Boat-Neck Top, Created for Macy's",https://www.macys.com//shop/product/charter-club-pima-cotton-lace-print-boat-neck-top-created-for-macys?ID=13140659&CategoryID=255,3,2050.00,3260.00
13288559,"Style & Co Floral Shadow Burnout T-Shirt, Created for Macy's",https://www.macys.com//shop/product/style-co-floral-shadow-burnout-t-shirt-created-for-macys?ID=13288559&CategoryID=255,2,1599.00,3260.00
13265876,"Karen Scott Cotton Sweetheart-Neckline Tank Top, Created for Macy's",https://www.macys.com//shop/product/karen-scott-cotton-sweetheart-neckline-tank-top-created-for-macys?ID=13265876&CategoryID=255,8,1066.00,3260.00
