Product_Name,Product_Link
Jeans,https://www.macys.com/shop/kids-clothes/girls-jeans?id=188691
Sweatshirts & Hoodies,https://www.macys.com/shop/kids-clothes/girls-hoodies?id=188698
Dresses,https://www.macys.com/shop/kids-clothes/girls-dresses?id=31460
Coats & Jackets,https://www.macys.com/shop/kids-clothes/girls-coats-jackets?id=188692
Activewear,https://www.macys.com/shop/kids-clothes/girls-activewear?id=177142
Suits & Dress Shirts,https://www.macys.com/shop/kids-clothes/suits-dress-shirts?id=63016
Shorts,https://www.macys.com/shop/kids-clothes/shorts?id=121346
Sets & Outfits,https://www.macys.com/shop/kids-clothes/sets-outfits?id=121344
Underwear,https://www.macys.com/shop/kids-clothes/boys-underwear?id=188763
Swimwear,https://www.macys.com/shop/kids-clothes/boys-swimwear?id=188762
Sweaters,https://www.macys.com/shop/kids-clothes/boys-sweaters?id=188760
Socks,https://www.macys.com/shop/kids-clothes/boys-socks?id=188764
Shirts,https://www.macys.com/shop/kids-clothes/boys-shirts?id=121345
Pants,https://www.macys.com/shop/kids-clothes/boys-pants?id=188756
Pajamas,https://www.macys.com/shop/kids-clothes/boys-pajamas?id=188759
Jeans,https://www.macys.com/shop/kids-clothes/boys-jeans?id=188755
Sweatshirts & Hoodies,https://www.macys.com/shop/kids-clothes/boys-hoodies?id=188761
Coats & Jackets,https://www.macys.com/shop/kids-clothes/boys-coats-jackets?id=188754
Activewear,https://www.macys.com/shop/kids-clothes/boys-activewear?id=177143
Baby Shoes,https://www.macys.com/shop/kids-clothes/baby-shoes?id=73512
Wedges,https://www.macys.com/shop/shoes/wedges?id=13808
Sneakers,https://www.macys.com/shop/shoes/sneakers?id=26499
Slippers,https://www.macys.com/shop/shoes/slippers?id=16108
Sandals & Flip Flops,https://www.macys.com/shop/shoes/sandals?id=17570
Mules & Slides,https://www.macys.com/shop/shoes/mules-slides?id=169950
Heels,https://www.macys.com/shop/shoes/high-heels?id=71123
Flats,https://www.macys.com/shop/shoes/flats?id=50295
Athletic Shoes,https://www.macys.com/shop/shoes/finish-line-athletic-shoes?id=63268
Espadrilles,https://www.macys.com/shop/shoes/espadrilles?id=76282
Designer Shoes,https://www.macys.com/shop/shoes/designer-shoes?id=50763
Comfort,https://www.macys.com/shop/shoes/comfort-shoes?id=27902
Evening & Wedding,https://www.macys.com/shop/shoes/bridal-evening?id=13614
Boots,https://www.macys.com/shop/shoes/boots?id=25122
Booties,https://www.macys.com/shop/shoes/booties?id=13616
Wide & Extra Wide Shoes,https://www.macys.com/shop/mens-clothing/wide-shoes-for-men?id=74850
Waterproof,https://www.macys.com/shop/mens-clothing/waterproof?id=70347
Sneakers,https://www.macys.com/shop/mens-clothing/mens-sneakers?id=55642
Slippers,https://www.macys.com/shop/mens-clothing/mens-slippers?id=55641
Sandals & Flip-Flops,https://www.macys.com/shop/mens-clothing/mens-sandals?id=55640
Athletic Shoes,https://www.macys.com/shop/mens-clothing/mens-finish-line-athletic-shoes?id=63266
Casual Shoes,https://www.macys.com/shop/mens-clothing/mens-casual-shoes?id=59851
Boots,https://www.macys.com/shop/mens-clothing/mens-boots?id=55637
Boat Shoes,https://www.macys.com/shop/mens-clothing/mens-boat-shoes?id=55636
Drivers,https://www.macys.com/shop/mens-clothing/drivers?id=79687
Dress Shoes,https://www.macys.com/shop/mens-clothing/dress-shoes?id=70405
All Kids Shoes,https://www.macys.com/shop/kids-clothes/kids-shoes?id=48561
Girls Shoes,https://www.macys.com/shop/kids-clothes/kids-shoes/Gender/Girls?id=48561
Boys Shoes,https://www.macys.com/shop/kids-clothes/kids-shoes/Gender/Boys?id=48561
Beauty Shop,https://www.macys.com/shop/makeup-and-perfume?id=669
Value Size Cologne,https://www.macys.com/shop/makeup-and-perfume/value-size-cologne?id=183589
Tinted Moisturizer,https://www.macys.com/shop/makeup-and-perfume/tinted-moisturizer?id=80143
Sun Care,https://www.macys.com/shop/makeup-and-perfume/sun-care?id=61581
Skin Care Devices,https://www.macys.com/shop/makeup-and-perfume/skincare-tools?id=30565
Skin Care For Men,https://www.macys.com/shop/makeup-and-perfume/skincare?id=76892
Skincare Products,https://www.macys.com/shop/makeup-and-perfume/skin-care?id=30078
Serums,https://www.macys.com/shop/makeup-and-perfume/serum?id=50363
Perfume Gift Sets,https://www.macys.com/shop/makeup-and-perfume/perfume-gift-sets?id=69439
Moisturizers,https://www.macys.com/shop/makeup-and-perfume/moisturizer?id=30585
Shaving Kit For Men,https://www.macys.com/shop/makeup-and-perfume/mens-shaving-kit?id=48194
Hair Care For Men,https://www.macys.com/shop/makeup-and-perfume/mens-hair-care?id=183596
Body Care For Men,https://www.macys.com/shop/makeup-and-perfume/mens-body-wash?id=48470
Mascara,https://www.macys.com/shop/makeup-and-perfume/mascara?id=53452
Palettes,https://www.macys.com/shop/makeup-and-perfume/makeup-palettes?id=97142
Tools & Brushes,https://www.macys.com/shop/makeup-and-perfume/makeup-brushes-and-makeup-bags?id=56285
Makeup Products,https://www.macys.com/shop/makeup-and-perfume/makeup?id=30077
Luxury Fragrance,https://www.macys.com/shop/makeup-and-perfume/luxury-fragrance?id=145343
Luxury Cologne & Grooming,https://www.macys.com/shop/makeup-and-perfume/luxury-cologne-grooming?id=145344
Lip Balm & Treatment,https://www.macys.com/shop/makeup-and-perfume/lip-treatment?id=30763
Lipstick,https://www.macys.com/shop/makeup-and-perfume/lipstick?id=30555
Lip Liner,https://www.macys.com/shop/makeup-and-perfume/lip-pencils?id=30553
Lip Makeup,https://www.macys.com/shop/makeup-and-perfume/lip-makeup?id=30522
Lip Gloss,https://www.macys.com/shop/makeup-and-perfume/lip-gloss?id=30552
Hair Tools & Brushes,https://www.macys.com/shop/makeup-and-perfume/hair-tools?id=159549
Hair Care,https://www.macys.com/shop/makeup-and-perfume/hair-care-products?id=60600
Foundation,https://www.macys.com/shop/makeup-and-perfume/foundation?id=53451
Cleansers,https://www.macys.com/shop/makeup-and-perfume/facial-cleansers?id=30582
Primer,https://www.macys.com/shop/makeup-and-perfume/face-primer?id=30762
Powder,https://www.macys.com/shop/makeup-and-perfume/face-powder?id=30542
Face Makeup,https://www.macys.com/shop/makeup-and-perfume/face-makeup?id=30521
Eyeshadow Palettes,https://www.macys.com/shop/makeup-and-perfume/eyeshadow-palettes?id=76898
Eye Shadow,https://www.macys.com/shop/makeup-and-perfume/eyeshadow?id=30534
Eye Makeup,https://www.macys.com/shop/makeup-and-perfume/eye-makeup?id=30520
Eyeliner,https://www.macys.com/shop/makeup-and-perfume/eyeliner?id=30533
Eye Care,https://www.macys.com/shop/makeup-and-perfume/eye-cream?id=30558
Eyebrows,https://www.macys.com/shop/makeup-and-perfume/eyebrows?id=30761
Toners,https://www.macys.com/shop/makeup-and-perfume/exfoliating-skin-facial-toner?id=30588
Contour & Highlight,https://www.macys.com/shop/makeup-and-perfume/contour-highlight-makeup?id=78661
Concealer,https://www.macys.com/shop/makeup-and-perfume/concealer?id=30539
Cologne,https://www.macys.com/shop/makeup-and-perfume/cologne-for-men?id=30088
Bronzer,https://www.macys.com/shop/makeup-and-perfume/bronzer?id=30538
Blush,https://www.macys.com/shop/makeup-and-perfume/blush?id=30537
BB & CC Cream,https://www.macys.com/shop/makeup-and-perfume/bb-and-cc-cream?id=178442
Bath & Body Products,https://www.macys.com/shop/makeup-and-perfume/bath-and-body?id=58499
